Edge_ID,Edge_Type,Parent,Child,Meaning,Status,Source,Scope,Falsification_Target
EQ-LINE-EQ-079,EQUATION_LINEAGE,PE.4,EQ-079,Euler-Lagrange,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-080,EQUATION_LINEAGE,PE.5,EQ-080,Action principle,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-081,EQUATION_LINEAGE,PE.6,EQ-081,Action,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-082,EQUATION_LINEAGE,PE.7,EQ-082,Field equation,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-083,EQUATION_LINEAGE,PE.8,EQ-083,GR limit,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-084,EQUATION_LINEAGE,PE.9,EQ-084,Covariant form,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-085,EQUATION_LINEAGE,PE.10,EQ-085,Material derivative,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-086,EQUATION_LINEAGE,PE.11,EQ-086,Gradient,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-087,EQUATION_LINEAGE,PE.12,EQ-087,Org action stationarity,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-088,EQUATION_LINEAGE,PE.13,EQ-088,Org action,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-089,EQUATION_LINEAGE,CV.1,EQ-089,Christoffel,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-090,EQUATION_LINEAGE,CV.2,EQ-090,Riemann tensor,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-091,EQUATION_LINEAGE,CV.3,EQ-091,Ricci tensor,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-092,EQUATION_LINEAGE,CV.4,EQ-092,Ricci scalar,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-093,EQUATION_LINEAGE,CV.5,EQ-093,Einstein tensor,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-094,EQUATION_LINEAGE,CV.6,EQ-094,Einstein equations,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-095,EQUATION_LINEAGE,CV.7,EQ-095,Kretschner scalar,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-096,EQUATION_LINEAGE,CV.8,EQ-096,Ricci squared,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-097,EQUATION_LINEAGE,CV.9,EQ-097,Ricci scalar squared,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-098,EQUATION_LINEAGE,CV.10,EQ-098,Weyl squared,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-099,EQUATION_LINEAGE,CV.11,EQ-099,Einstein-Hilbert action,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-100,EQUATION_LINEAGE,CV.12,EQ-100,Volume element,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-101,EQUATION_LINEAGE,PH.1,EQ-101,Continuity,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-102,EQUATION_LINEAGE,PH.2,EQ-102,Diffusion,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-103,EQUATION_LINEAGE,PH.3,EQ-103,Reaction-diffusion,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-104,EQUATION_LINEAGE,PH.4,EQ-104,Navier-Stokes,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-105,EQUATION_LINEAGE,PH.5,EQ-105,Gauss electric,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-106,EQUATION_LINEAGE,PH.6,EQ-106,Gauss magnetic,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-107,EQUATION_LINEAGE,PH.7,EQ-107,Faraday,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-108,EQUATION_LINEAGE,PH.8,EQ-108,Ampere-Maxwell,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-109,EQUATION_LINEAGE,PH.9,EQ-109,Pressure gradient,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-110,EQUATION_LINEAGE,PH.10,EQ-110,Temperature gradient,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-111,EQUATION_LINEAGE,PH.11,EQ-111,Chemical gradient,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-112,EQUATION_LINEAGE,PH.12,EQ-112,Field gradient,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-113,EQUATION_LINEAGE,PH.13,EQ-113,Distinction operator,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-114,EQUATION_LINEAGE,QM.1,EQ-114,Schrodinger,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-115,EQUATION_LINEAGE,QM.2,EQ-115,Energy eigenvalue,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-116,EQUATION_LINEAGE,QM.3,EQ-116,Boltzmann entropy,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-117,EQUATION_LINEAGE,QM.4,EQ-117,Clausius,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-118,EQUATION_LINEAGE,QM.5,EQ-118,Helmholtz free energy,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-119,EQUATION_LINEAGE,QM.6,EQ-119,Gibbs free energy,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-120,EQUATION_LINEAGE,QM.7,EQ-120,Partition function,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-121,EQUATION_LINEAGE,QM.8,EQ-121,Free energy from Z,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-122,EQUATION_LINEAGE,QM.9,EQ-122,Entropy from F,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-123,EQUATION_LINEAGE,QM.10,EQ-123,Spectral action,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-124,EQUATION_LINEAGE,LH.1,EQ-124,Principle of stationary action,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-125,EQUATION_LINEAGE,LH.2,EQ-125,Action,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-126,EQUATION_LINEAGE,LH.3,EQ-126,Lagrangian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-127,EQUATION_LINEAGE,LH.4,EQ-127,Hamilton equation 1,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-128,EQUATION_LINEAGE,LH.5,EQ-128,Hamilton equation 2,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-129,EQUATION_LINEAGE,LH.6,EQ-129,Hamiltonian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-130,EQUATION_LINEAGE,LH.7,EQ-130,Poisson bracket,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-131,EQUATION_LINEAGE,LH.8,EQ-131,Energy conservation,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-132,EQUATION_LINEAGE,OD.1,EQ-132,Evolution operator,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-133,EQUATION_LINEAGE,OD.2,EQ-133,Operator form,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-134,EQUATION_LINEAGE,OD.3,EQ-134,Attractor,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-135,EQUATION_LINEAGE,OD.4,EQ-135,DTC iteration,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-136,EQUATION_LINEAGE,OD.5,EQ-136,DTC composition,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-137,EQUATION_LINEAGE,OD.6,EQ-137,Org state,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-138,EQUATION_LINEAGE,OD.7,EQ-138,Control parameter,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-139,EQUATION_LINEAGE,OD.8,EQ-139,Fragmentation,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-140,EQUATION_LINEAGE,OD.9,EQ-140,Persistence,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-141,EQUATION_LINEAGE,OD.10,EQ-141,Frozen equilibrium,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-142,EQUATION_LINEAGE,OD.11,EQ-142,Persistence cond. 1,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-143,EQUATION_LINEAGE,OD.12,EQ-143,Persistence cond. 2,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-144,EQUATION_LINEAGE,OD.13,EQ-144,Persistence cond. 3,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-145,EQUATION_LINEAGE,OD.14,EQ-145,Org. continuity,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-146,EQUATION_LINEAGE,OD.15,EQ-146,Full org. dynamics,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-147,EQUATION_LINEAGE,RG.1,EQ-147,Axiom 1 — Closure,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-148,EQUATION_LINEAGE,RG.2,EQ-148,Axiom 2 — Minimality,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-149,EQUATION_LINEAGE,RG.3,EQ-149,Axiom 3 — Completeness,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-150,EQUATION_LINEAGE,RG.4,EQ-150,Axiom 4 — Consistency,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-151,EQUATION_LINEAGE,RG.5,EQ-151,Axiom 5 — Canonical Form,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-152,EQUATION_LINEAGE,RG.6,EQ-152,Axiom 6 — Recursive Generativity,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-153,EQUATION_LINEAGE,RG.7,EQ-153,Persistence theorem,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-154,EQUATION_LINEAGE,RG.8,EQ-154,Generativity chain,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-155,EQUATION_LINEAGE,MC.1,EQ-155,Input,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-156,EQUATION_LINEAGE,MC.2,EQ-156,Step 1,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-157,EQUATION_LINEAGE,MC.3,EQ-157,Step 2,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-158,EQUATION_LINEAGE,MC.4,EQ-158,Step 3,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-159,EQUATION_LINEAGE,MC.5,EQ-159,Step 4,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-160,EQUATION_LINEAGE,MC.6,EQ-160,Step 5,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-161,EQUATION_LINEAGE,MC.7,EQ-161,Step 6,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-162,EQUATION_LINEAGE,MC.8,EQ-162,Step 7,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-163,EQUATION_LINEAGE,MC.9,EQ-163,Step 8,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-164,EQUATION_LINEAGE,MC.10,EQ-164,Step 9,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-165,EQUATION_LINEAGE,MC.11,EQ-165,Step 10,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-166,EQUATION_LINEAGE,MC.12,EQ-166,Step 11,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-167,EQUATION_LINEAGE,MC.13,EQ-167,Step 12,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-168,EQUATION_LINEAGE,MC.14,EQ-168,Step 13,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-169,EQUATION_LINEAGE,MC.15,EQ-169,Step 14,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-170,EQUATION_LINEAGE,MC.16,EQ-170,Step 15,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-171,EQUATION_LINEAGE,MC.17,EQ-171,Step 16,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-172,EQUATION_LINEAGE,MC.18,EQ-172,Step 17,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-173,EQUATION_LINEAGE,MC.19,EQ-173,Step 18,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-LINE-EQ-174,EQUATION_LINEAGE,MC.20,EQ-174,Step 19,SOURCE-CODED,MASTER EQUATION MATRIX,C0-C7,
EQ-DER-GE.11-DER-GAU-003,EQUATION_DER_LINK,GE.11,DER-GAU-003,TEXTUAL_SOURCE_MATCH,REQUIRES AUDIT,50_EQUATION_DER_LINKS,,
EQ-DER-CV.11-DER-VAR-004,EQUATION_DER_LINK,CV.11,DER-VAR-004,TEXTUAL_SOURCE_MATCH,REQUIRES AUDIT,50_EQUATION_DER_LINKS,,
BRIDGE-EP-BR-001,BRIDGE_ENDPOINT,"EXT::(Δ,τ,κ,Π)",BRIDGE-GAMMA,Grammar composition,CERTIFIED SPINE,22_BRIDGES,C0 canonical uniqueness remains open,
BRIDGE-EP-BR-002,BRIDGE_ENDPOINT,BRIDGE-GAMMA,EXT::O→Ψ,Organizational evolution,CERTIFIED/PARTIAL,22_BRIDGES,Fixed-point closure remains open,
BRIDGE-EP-BR-003,BRIDGE_ENDPOINT,BRIDGE-PSI,BRIDGE-G,Organizational state to graph,CALCULATED/SCOPED,22_BRIDGES,Representation universality open,
BRIDGE-EP-BR-004,BRIDGE_ENDPOINT,BRIDGE-G,BRIDGE-L,Graph to Laplacian,CERTIFIED,22_BRIDGES,Graph assumptions,
BRIDGE-EP-BR-005,BRIDGE_ENDPOINT,BRIDGE-L,BRIDGE-SPEC,Spectral decomposition,CERTIFIED,22_BRIDGES,Self-adjoint/finite graph conditions,
BRIDGE-EP-BR-006,BRIDGE_ENDPOINT,BRIDGE-SPEC,BRIDGE-KT,Spectrum to heat semigroup,CERTIFIED,22_BRIDGES,PSD/self-adjoint,
BRIDGE-EP-BR-007,BRIDGE_ENDPOINT,BRIDGE-SPEC,BRIDGE-D,Spectrum to diffusion distance,CALCULATED/SCOPED,22_BRIDGES,Nonzero modes,
BRIDGE-EP-BR-008,BRIDGE_ENDPOINT,BRIDGE-D,BRIDGE-GMETRIC,Distance to metric,CALCULATED/SCOPED,22_BRIDGES,Continuum/refinement assumptions,
BRIDGE-EP-BR-009,BRIDGE_ENDPOINT,BRIDGE-GMETRIC,BRIDGE-NABLA,Metric to connection,DERIVED,22_BRIDGES,Riemannian scope,
BRIDGE-EP-BR-010,BRIDGE_ENDPOINT,BRIDGE-NABLA,EXT::Riemann→Ricci→R→G,Curvature hierarchy,DERIVED,22_BRIDGES,Metric differentiability,
BRIDGE-EP-BR-011,BRIDGE_ENDPOINT,BRIDGE-G,EXT::Einstein dynamics,Einstein tensor to field equation,DERIVED/ADMITTED,22_BRIDGES,Matter source/coupling status version-dependent,
BRIDGE-EP-BR-012,BRIDGE_ENDPOINT,BRIDGE-L,EXT::D,Graph Laplacian to Dirac,CERTIFIED IN UCG SOURCE,22_BRIDGES,Scope and NCG equivalence remain a distinct issue,
BRIDGE-EP-BR-013,BRIDGE_ENDPOINT,BRIDGE-L,EXT::R=e^{-βL},Spectral persistence filter,CERTIFIED,22_BRIDGES,Persistence interpretation open,
BRIDGE-EP-BR-014,BRIDGE_ENDPOINT,EXT::C_Π,EXT::δC_Π=0,Persistence cost to field equation,CERTIFIED,22_BRIDGES,Functional assumptions,
BRIDGE-EP-BR-015,BRIDGE_ENDPOINT,EXT::I_F,EXT::geodesic,Zero informational-loss limit,CERTIFIED,22_BRIDGES,Model branch,
BRIDGE-EP-BR-016,BRIDGE_ENDPOINT,BRIDGE-R,EXT::Z→F,Statistical bridge,DERIVED,22_BRIDGES,β=1/k_BT convention,
BRIDGE-EP-BR-017,BRIDGE_ENDPOINT,EXT::L_N/h_N²,EXT::-Δ_g,Discrete-to-continuum bridge,CLOSED FOR TEST FAMILY,22_BRIDGES,Not universal yet,
BRIDGE-EP-BR-018,BRIDGE_ENDPOINT,EXT::K_N,EXT::K_g→d_g→g_ij,Heat-kernel geometric bridge,CONDITIONAL/DERIVED,22_BRIDGES,h_N²/t→0,
BRIDGE-EP-BR-019,BRIDGE_ENDPOINT,EXT::L(a),EXT::dotL,Homogeneous scale evolution,DERIVED/CALCULATED,22_BRIDGES,Homogeneous branch,
BRIDGE-EP-BR-020,BRIDGE_ENDPOINT,BRIDGE-SPEC,EXT::DOS→ρ_vac,Spectral vacuum bridge,DERIVED/CALCULATED,22_BRIDGES,3D continuum physical cutoff,
BRIDGE-EP-BR-021,BRIDGE_ENDPOINT,EXT::Z_H,EXT::A_H,Horizon heat-kernel area bridge,DERIVED/CALCULATED,22_BRIDGES,Given legitimate horizon subsystem,
BRIDGE-EP-BR-022,BRIDGE_ENDPOINT,EXT::Z_H(ℓ_p²),EXT::N_BH,Spectral/BH normalization bridge,ALGEBRAIC CONDITION,22_BRIDGES,π origin not derived,
BRIDGE-EP-BR-023,BRIDGE_ENDPOINT,EXT::N_H,EXT::Ξ,Information-to-cutoff bridge,CONDITIONAL DOWNSTREAM,22_BRIDGES,Requires non-circular N_H,
BRIDGE-EP-BR-024,BRIDGE_ENDPOINT,EXT::Ξ,EXT::Λ_*→ρ_vac,Cutoff to vacuum bridge,DERIVED GIVEN Ξ,22_BRIDGES,Scale anchor remains upstream,
BRIDGE-EP-BR-025,BRIDGE_ENDPOINT,EXT::ρ_vac,EXT::Λ_cosm→H→a,Cosmological dynamics bridge,DOWNSTREAM CLOSED GIVEN INPUT,22_BRIDGES,Vacuum branch,
BRIDGE-EP-BR-026,BRIDGE_ENDPOINT,BRIDGE-GAMMA,EXT::Σ_H→P_H,Horizon selection bridge,OPEN,22_BRIDGES,UOC horizon selector not yet generated,
BRIDGE-EP-BR-027,BRIDGE_ENDPOINT,EXT::P_H,EXT::Z_H,Localized heat trace,OPEN AS UOC DERIVATION,22_BRIDGES,Depends on P_H,
BRIDGE-EP-BR-028,BRIDGE_ENDPOINT,BRIDGE-GAMMA,EXT::ℓ_*,Absolute scale bridge,OPEN,22_BRIDGES,Scale nonuniqueness theorem,
BRIDGE-EP-BR-029,BRIDGE_ENDPOINT,BRIDGE-GAMMA,EXT::dotL,Universal spectral dynamics,OPEN,22_BRIDGES,Must generate H,
LAYER-C0-PRIM-G-001,CLOSURE_LAYER_DEPENDENCY,C0,PRIM-G-001,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C0,
LAYER-C0-PRIM-G-002,CLOSURE_LAYER_DEPENDENCY,C0,PRIM-G-002,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C0,
LAYER-C0-PRIM-G-003,CLOSURE_LAYER_DEPENDENCY,C0,PRIM-G-003,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C0,
LAYER-C0-PRIM-G-004,CLOSURE_LAYER_DEPENDENCY,C0,PRIM-G-004,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C0,
LAYER-C1-DER-ORG-006,CLOSURE_LAYER_DEPENDENCY,C1,DER-ORG-006,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C1,
LAYER-C1-DER-ORG-008,CLOSURE_LAYER_DEPENDENCY,C1,DER-ORG-008,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C1,
LAYER-C1-SPC-006,CLOSURE_LAYER_DEPENDENCY,C1,SPC-006,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C1,
LAYER-C2-DER-ORG-007,CLOSURE_LAYER_DEPENDENCY,C2,DER-ORG-007,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C2,
LAYER-C2-DER-TRC-006,CLOSURE_LAYER_DEPENDENCY,C2,DER-TRC-006,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C2,
LAYER-C3-BR-004,CLOSURE_LAYER_DEPENDENCY,C3,BR-004,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C3,
LAYER-C5-DER-GAU-003,CLOSURE_LAYER_DEPENDENCY,C5,DER-GAU-003,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C5,
LAYER-C7-COSMO-DYN-010,CLOSURE_LAYER_DEPENDENCY,C7,COSMO-DYN-010,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C7,
LAYER-C7-COSMO-DYN-011,CLOSURE_LAYER_DEPENDENCY,C7,COSMO-DYN-011,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C7,
LAYER-C7-COSMO-DYN-012,CLOSURE_LAYER_DEPENDENCY,C7,COSMO-DYN-012,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C7,
LAYER-C7-COSMO-DYN-013,CLOSURE_LAYER_DEPENDENCY,C7,COSMO-DYN-013,Closure layer governs/contains target,REGISTERED,24_C0_C10_CLOSURE_LAYERS,C7,
EDGE-PRF-PRIM-001,PROOF_DEPENDENCY,PRF-PRIM,DER-C0-PRIMGRAPH-001,This execution's computational test targets PRF-PRIM,CALCULATED,PRF-PRIM-EXEC-2026-08-17,graph-spectral realization only,
EDGE-PRF-PRIM-002,DERIVED_FROM,DER-C0-PRIMGRAPH-001,LEMMA-AUT-PROJ-001,"Commutation lemma proven while testing kappa=P_ker(L), tau=automorphism candidates",CERTIFIED,PRF-PRIM-EXEC-2026-08-17,graph automorphisms only,
EDGE-PRF-PRIM-003,DERIVED_FROM,DER-C0-PRIMGRAPH-001,LEMMA-INC-001,Incidence identity applied while testing grad(Phi)<->Delta structural correspondence,CERTIFIED,PRF-PRIM-EXEC-2026-08-17,any finite graph,
EDGE-PRF-PRIM-004,TESTED_AGAINST,DER-C0-PRIMGRAPH-001,DER-SPC-005,"Candidate kappa=P_ker(L),Pi=ker(L) tested for compatibility with existing 'Persistence operator R=exp(-beta L)'; COMPATIBLE (lim R(t)=P_ker(L) verified 9/9)",CALCULATED,PRF-PRIM-EXEC-2026-08-17,9 benchmark graph families,
EDGE-PRF-PRIM-005,FALSIFIES,DER-C0-PRIMGRAPH-001,PRIM-G-002,"tau=exp(-tL) candidate realization of PRIM-G-002 falsified (violates its own Liouville-condition definition, 9/9 families)",FALSIFIED,PRF-PRIM-EXEC-2026-08-17,any graph with >=1 edge,det(exp(-tL))=exp(-t*trace L) -> 0 as t->inf
EDGE-PHASE2-001,PROOF_DEPENDENCY,PRF-PRIM,DER-P2-001,Phase II grammar-typing execution extends and cites PRF-PRIM's original typing work,CALCULATED,PHASE2-C0-EXEC-2026-08-17,"G_A, G_B, G_C typed structures",
EDGE-PHASE2-002,DERIVED_FROM,DER-P2-001,DER-P2-002,Morphism construction requires the typed grammars established in DER-P2-001,CALCULATED,PHASE2-C0-EXEC-2026-08-17,all 6 candidate translations,
EDGE-PHASE2-003,DERIVED_FROM,DER-P2-002,THM-P2-FCA-001,F_CA exact-reconstruction theorem proven while constructing/testing the Theta->Pi translation,CALCULATED,PHASE2-C0-EXEC-2026-08-17,"any finite graph, 10/10 test families",
EDGE-PHASE2-004,DERIVED_FROM,DER-P2-002,THM-P2-FAB-SPECTRAL-001,Spectral transport theorem proven while constructing/testing the Delta->grad(Phi) translation,CALCULATED,PHASE2-C0-EXEC-2026-08-17,10 graphs + tetrahedron 2-complex,
EDGE-PHASE2-005,TESTED_AGAINST,DER-P2-002,PRIM-G-001,F_BC/F_CB tested for whether they carry any independent (non-A-mediated) content relating to G_C's Theta/Omega,OPEN,PHASE2-C0-EXEC-2026-08-17,10 test families,
EDGE-PHASE2-006,SUPERSEDES_PARTIAL,DER-C0-PRIMGRAPH-001,DER-P2-001,DER-P2-001 extends (does not replace) PRF-PRIM's original type-check with the NX001-Delta reading and Gamma_B/Gamma_C typing,CALCULATED,PHASE2-C0-EXEC-2026-08-17,"grammar typing only, PRF-PRIM's own findings unchanged/preserved",
